phenotype	description	group	phenocode	description_more	coding	coding_description	pops	num_pops	pops_pass_qc	num_pops_pass_qc	n_cases_full_cohort_both_sexes	n_cases_full_cohort_females	n_cases_full_cohort_males	n_cases_hq_cohort_both_sexes	n_cases_hq_cohort_females	n_cases_hq_cohort_males	n_cases_AFR	n_cases_AMR	n_cases_CSA	n_cases_EAS	n_cases_EUR	n_cases_MID	n_controls_AFR	n_controls_AMR	n_controls_CSA	n_controls_EAS	n_controls_EUR	n_controls_MID	filename	aws_link	wget	size_in_bytes	description_panUKB	proxy_GWAS	short_label	use_in_analysis
428	Congestive heart failure; nonhypertensive	circulatory system	428	NA		NA	AFR,CSA,EUR	3		0	7804	2426	5378	NA	NA	NA	107	NA	245	NA	7452	NA	6496	NA	8588	NA	412106	NA	phecode-428-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-428-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-428-both_sexes.tsv.bgz	1675225808	Congestive heart failure; nonhypertensive	FALSE	Congestive heart failure	TRUE
433	Cerebrovascular disease	circulatory system	433	NA		NA	AFR,CSA,EUR	3		0	11716	4764	6952	NA	NA	NA	191	NA	222	NA	11303	NA	6419	NA	8626	NA	407633	NA	phecode-433-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-433-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-433-both_sexes.tsv.bgz	1705049172	Cerebrovascular disease	FALSE	Cerebrovascular disease	FALSE
433.1	Occlusion and stenosis of precerebral arteries	circulatory system	433.1	NA		NA	EUR	1		0	1689	550	1139	NA	NA	NA	NA	NA	NA	NA	1689	NA	NA	NA	NA	NA	407633	NA	phecode-433.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-433.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-433.1-both_sexes.tsv.bgz	552146486	Occlusion and stenosis of precerebral arteries	FALSE	Precerebral arteries occlusion	FALSE
442.11	Abdominal aortic aneurysm	circulatory system	442.11	NA		NA	EUR	1		0	1306	169	1137	NA	NA	NA	NA	NA	NA	NA	1306	NA	NA	NA	NA	NA	408565	NA	phecode-442.11-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-442.11-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-442.11-both_sexes.tsv.bgz	549666443	Abdominal aortic aneurysm	FALSE	Abdominal aortic aneurysm	FALSE
443.9	Peripheral vascular disease, unspecified	circulatory system	443.9	NA		NA	CSA,EUR	2		0	3400	988	2412	NA	NA	NA	NA	NA	75	NA	3325	NA	NA	NA	8675	NA	408565	NA	phecode-443.9-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-443.9-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-443.9-both_sexes.tsv.bgz	1130674094	Peripheral vascular disease, unspecified	FALSE	Peripheral vascular disease	FALSE
451	Phlebitis and thrombophlebitis	circulatory system	451	NA		NA	AFR,CSA,EUR	3		0	4938	2215	2723	NA	NA	NA	88	NA	53	NA	4797	NA	6017	NA	7983	NA	376206	NA	phecode-451-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-451-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-451-both_sexes.tsv.bgz	1630617947	Phlebitis and thrombophlebitis	FALSE	Phlebitis/thrombophlebitis	TRUE
454	Varicose veins	circulatory system	454	NA		NA	AFR,CSA,EUR	3	AFR,EUR	2	13725	8720	5005	13538	8623	4915	98	NA	187	NA	13440	NA	6017	NA	7983	NA	376206	NA	phecode-454-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-454-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-454-both_sexes.tsv.bgz	1918177152	Varicose veins	FALSE	Varicose veins	TRUE
455	Hemorrhoids	circulatory system	455	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6		0	28275	14463	13811	NA	NA	NA	441	82	657	228	26726	141	6017	863	7983	2430	376206	1418	phecode-455-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-455-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-455-both_sexes.tsv.bgz	2451354841	Hemorrhoids	FALSE	Hemorrhoids	TRUE
459.9	Circulatory disease NEC	circulatory system	459.9	NA		NA	AFR,CSA,EAS,EUR,MID	5		0	22049	10095	11954	NA	NA	NA	351	NA	379	54	21212	53	6219	NA	8342	2626	392807	1524	phecode-459.9-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-459.9-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-459.9-both_sexes.tsv.bgz	2217352247	Circulatory disease NEC	FALSE	Circulatory disease NEC	TRUE
471	Nasal polyps	respiratory	471	NA		NA	CSA,EUR	2	CSA,EUR	2	3726	1228	2498	3726	1228	2498	NA	NA	60	NA	3666	NA	NA	NA	8392	NA	398757	NA	phecode-471-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-471-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-471-both_sexes.tsv.bgz	1211105740	Nasal polyps	FALSE	Nasal polyps	FALSE
495	Asthma	respiratory	495	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR,MID	3	33000	19861	13138	32211	19269	12941	576	64	903	149	31169	139	5999	898	7886	2540	379656	1434	phecode-495-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-495-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-495-both_sexes.tsv.bgz	2781575914	Asthma	FALSE	Asthma	TRUE
496	Chronic airway obstruction	respiratory	496	NA		NA	AFR,EUR	2		0	14422	6757	7665	NA	NA	NA	112	NA	NA	NA	14310	NA	5999	NA	NA	NA	379656	NA	phecode-496-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496-both_sexes.tsv.bgz	1362387292	Chronic airway obstruction	FALSE	Chronic airway obstruction	TRUE
530.1	Esophagitis, GERD and related diseases	digestive	530.1	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR,MID	3	41789	21922	19866	41085	21438	19646	478	87	910	139	40018	157	6018	870	7743	2516	371349	1400	phecode-530.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-530.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-530.1-both_sexes.tsv.bgz	2788049711	Esophagitis, GERD and related diseases	FALSE	Esophagitis/GERD	TRUE
531.3	Duodenal ulcer	digestive	531.3	NA		NA	CSA,EUR	2		0	3612	1318	2294	NA	NA	NA	NA	NA	96	NA	3516	NA	NA	NA	8645	NA	411516	NA	phecode-531.3-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531.3-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-531.3-both_sexes.tsv.bgz	1137215473	Duodenal ulcer	FALSE	Duodenal ulcer	FALSE
535.6	Duodenitis	digestive	535.6	NA		NA	AFR,CSA,EUR,MID	4		0	9469	3903	5566	NA	NA	NA	94	NA	220	NA	9104	51	6032	NA	7800	NA	379860	1389	phecode-535.6-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-535.6-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-535.6-both_sexes.tsv.bgz	1933085004	Duodenitis	FALSE	Duodenitis	TRUE
540	Appendiceal conditions	digestive	540	NA		NA	CSA,EUR	2		0	4387	2278	2109	NA	NA	NA	NA	NA	51	NA	4336	NA	NA	NA	8825	NA	416195	NA	phecode-540-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-540-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-540-both_sexes.tsv.bgz	1135275777	Appendiceal conditions	FALSE	Appendiceal conditions	FALSE
550.1	Inguinal hernia	digestive	550.1	NA		NA	AFR,CSA,EUR,MID	4		0	19077	1330	17746	NA	NA	NA	151	NA	297	NA	18559	70	6019	NA	7837	NA	363863	1375	phecode-550.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-550.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-550.1-both_sexes.tsv.bgz	1970677745	Inguinal hernia	FALSE	Inguinal hernia	TRUE
555.1	Regional enteritis	digestive	555.1	NA		NA	EUR	1		0	2008	1093	915	NA	NA	NA	NA	NA	NA	NA	2008	NA	NA	NA	NA	NA	330270	NA	phecode-555.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-555.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-555.1-both_sexes.tsv.bgz	553432570	Regional enteritis	FALSE	Regional enteritis	FALSE
555.2	Ulcerative colitis	digestive	555.2	NA		NA	EUR	1		0	3670	1748	1922	NA	NA	NA	NA	NA	NA	NA	3670	NA	NA	NA	NA	NA	330270	NA	phecode-555.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-555.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-555.2-both_sexes.tsv.bgz	556385566	Ulcerative colitis	FALSE	Ulcerative colitis	TRUE
557.1	Celiac disease	digestive	557.1	NA		NA	EUR	1		0	2202	1437	765	NA	NA	NA	NA	NA	NA	NA	2202	NA	NA	NA	NA	NA	330260	NA	phecode-557.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-557.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-557.1-both_sexes.tsv.bgz	553978385	Celiac disease	FALSE	Celiac disease	FALSE
562.1	Diverticulosis	digestive	562.1	NA		NA	AFR,AMR,CSA,EUR,MID	5	CSA,EUR,MID	3	36408	19234	17173	36046	18999	17046	298	64	352	NA	35617	77	5537	798	7235	NA	330270	1293	phecode-562.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-562.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-562.1-both_sexes.tsv.bgz	2523482663	Diverticulosis	FALSE	Diverticulosis	TRUE
564	Functional digestive disorders	digestive	564	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	CSA,EUR	2	40734	22712	18019	39769	22117	17650	582	88	770	152	38999	143	5537	798	7235	2391	330270	1293	phecode-564-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-564-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-564-both_sexes.tsv.bgz	2781407242	Functional digestive disorders	FALSE	Functional digestive disorders	TRUE
565.1	Anal and rectal polyp	digestive	565.1	NA		NA	AFR,CSA,EUR	3		0	9661	4079	5582	NA	NA	NA	101	NA	147	NA	9413	NA	6119	NA	8036	NA	383086	NA	phecode-565.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-565.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-565.1-both_sexes.tsv.bgz	1669792559	Anal and rectal polyp	FALSE	Anal and rectal polyp	TRUE
571.5	Other chronic nonalcoholic liver disease	digestive	571.5	NA		NA	CSA,EUR	2		0	2506	1208	1298	NA	NA	NA	NA	NA	77	NA	2429	NA	NA	NA	8605	NA	408402	NA	phecode-571.5-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-571.5-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-571.5-both_sexes.tsv.bgz	1121958416	Other chronic nonalcoholic liver disease	FALSE	Nonalcoholic liver diseases	FALSE
574	Cholelithiasis and cholecystitis	digestive	574	NA		NA	AFR,CSA,EAS,EUR,MID	5	CSA,EUR	2	19667	13622	6045	19391	13420	5971	142	NA	294	79	19097	55	6470	NA	8541	2623	399542	1535	phecode-574-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-574-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-574-both_sexes.tsv.bgz	2453043662	Cholelithiasis and cholecystitis	FALSE	Cholelithiasis/cholecystitis	TRUE
575	Other biliary tract disease	digestive	575	NA		NA	CSA,EUR	2		0	5189	3206	1983	NA	NA	NA	NA	NA	92	NA	5097	NA	NA	NA	8541	NA	399542	NA	phecode-575-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-575-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-575-both_sexes.tsv.bgz	1150619195	Other biliary tract disease	FALSE	Biliary tract disease	TRUE
593	Hematuria	genitourinary	593	NA		NA	AFR,CSA,EAS,EUR,MID	5		0	19082	8029	11053	NA	NA	NA	312	NA	350	97	18229	94	6082	NA	8166	2547	386584	1447	phecode-593-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-593-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-593-both_sexes.tsv.bgz	2212267388	Hematuria	FALSE	Hematuria	TRUE
594	Urinary calculus	genitourinary	594	NA		NA	AFR,CSA,EUR,MID	4		0	7943	2408	5535	NA	NA	NA	90	NA	206	NA	7593	54	6522	NA	8639	NA	411207	1538	phecode-594-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-594-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-594-both_sexes.tsv.bgz	1925151268	Urinary calculus	FALSE	Urinary calculus	TRUE
596.1	Bladder neck obstruction	genitourinary	596.1	NA		NA	EUR	1		0	2283	84	2199	NA	NA	NA	NA	NA	NA	NA	2223	NA	NA	NA	NA	NA	403310	NA	phecode-596.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-596.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-596.1-both_sexes.tsv.bgz	553758002	Bladder neck obstruction	FALSE	Bladder neck obstruction	FALSE
600	Hyperplasia of prostate	genitourinary	600	NA		NA	AFR,EUR,MID	3		0	14372	0	14372	NA	NA	NA	183	NA	NA	NA	14126	63	2369	NA	NA	NA	169762	823	phecode-600-males.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-600-males.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-600-males.tsv.bgz	1647632556	Hyperplasia of prostate	FALSE	Prostate hyperplasia	TRUE
615	Endometriosis	genitourinary	615	NA		NA	AFR,CSA,EUR	3		0	4547	4547	0	NA	NA	NA	99	NA	94	NA	4354	NA	3650	NA	3892	NA	217500	NA	phecode-615-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-615-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-615-females.tsv.bgz	1639508439	Endometriosis	FALSE	Endometriosis	TRUE
618	Genital prolapse	genitourinary	618	NA		NA	AFR,CSA,EUR	3		0	13800	13799	0	NA	NA	NA	108	NA	184	NA	13508	NA	3797	NA	3895	NA	213696	NA	phecode-618-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-618-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-618-females.tsv.bgz	1682591112	Genital prolapse	FALSE	Genital prolapse	TRUE
626.1	Irregular menstrual cycle/bleeding	genitourinary	626.1	NA		NA	AFR,AMR,EAS,EUR,MID	5		0	17345	17344	0	NA	NA	NA	486	55	NA	116	16625	63	3154	528	NA	1545	194287	572	phecode-626.1-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-626.1-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-626.1-females.tsv.bgz	2109254470	Irregular menstrual cycle/bleeding	FALSE	Irregular menstrual cycle	FALSE
654.2	Rhesus isoimmunization in pregnancy	hematopoietic	654.2	NA		NA	EUR	1		0	299	299	0	NA	NA	NA	NA	NA	NA	NA	299	NA	NA	NA	NA	NA	223346	NA	phecode-654.2-females.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-654.2-females.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-654.2-females.tsv.bgz	533596843	Rhesus isoimmunization in pregnancy	FALSE	Rhesus isoimmunization	FALSE
681	Superficial cellulitis and abscess	dermatologic	681	NA		NA	AFR,CSA,EUR	3		0	9268	3894	5373	NA	NA	NA	86	NA	147	NA	9035	NA	6434	NA	8569	NA	406937	NA	phecode-681-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-681-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-681-both_sexes.tsv.bgz	1663000837	Superficial cellulitis and abscess	FALSE	Superficial cellulitis/abscess	TRUE
695.4	Lupus (localized and systemic)	dermatologic	695.4	NA		NA	EUR	1		0	506	418	88	NA	NA	NA	NA	NA	NA	NA	506	NA	NA	NA	NA	NA	411160	NA	phecode-695.4-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-695.4-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-695.4-both_sexes.tsv.bgz	540593397	Lupus (localized and systemic)	FALSE	Lupus	FALSE
696.4	Psoriasis	dermatologic	696.4	NA		NA	CSA,EUR	2		0	2981	1385	1596	NA	NA	NA	NA	NA	77	NA	2904	NA	NA	NA	8490	NA	406978	NA	phecode-696.4-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-696.4-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-696.4-both_sexes.tsv.bgz	1128065864	Psoriasis	FALSE	Psoriasis	FALSE
697	Sarcoidosis	dermatologic	697	NA		NA	AFR,EUR	2		0	722	388	333	NA	NA	NA	55	NA	NA	NA	667	NA	6496	NA	NA	NA	412638	NA	phecode-697-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-697-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-697-both_sexes.tsv.bgz	1238435803	Sarcoidosis	FALSE	Sarcoidosis	FALSE
702.1	Actinic keratosis	dermatologic	702.1	NA		NA	EUR	1		0	3420	1812	1608	NA	NA	NA	NA	NA	NA	NA	3420	NA	NA	NA	NA	NA	413594	NA	phecode-702.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-702.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-702.1-both_sexes.tsv.bgz	556024970	Actinic keratosis	FALSE	Actinic keratosis	FALSE
702.2	Seborrheic keratosis	dermatologic	702.2	NA		NA	EUR	1		0	3774	2018	1756	NA	NA	NA	NA	NA	NA	NA	3774	NA	NA	NA	NA	NA	413594	NA	phecode-702.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-702.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-702.2-both_sexes.tsv.bgz	556466340	Seborrheic keratosis	FALSE	Seborrheic keratosis	FALSE
704	Diseases of hair and hair follicles	dermatologic	704	NA		NA	AFR,CSA,EUR	3		0	6108	3108	3000	NA	NA	NA	101	NA	126	NA	5881	NA	6525	NA	8720	NA	413199	NA	phecode-704-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-704-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-704-both_sexes.tsv.bgz	1655277859	Diseases of hair and hair follicles	FALSE	Hair diseases	TRUE
706.2	Sebaceous cyst	dermatologic	706.2	NA		NA	AFR,CSA,EUR	3		0	10034	5203	4831	NA	NA	NA	121	NA	168	NA	9745	NA	6488	NA	8682	NA	409775	NA	phecode-706.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-706.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-706.2-both_sexes.tsv.bgz	1679421782	Sebaceous cyst	FALSE	Sebaceous cyst	TRUE
709.2	Sicca syndrome	dermatologic	709.2	NA		NA	EUR	1		0	661	588	73	NA	NA	NA	NA	NA	NA	NA	661	NA	NA	NA	NA	NA	411677	NA	phecode-709.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-709.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-709.2-both_sexes.tsv.bgz	544038316	Sicca syndrome	FALSE	Sicca syndrome	FALSE
709.7	Unspecified diffuse connective tissue disease	dermatologic	709.7	NA		NA	EUR	1		0	210	156	54	NA	NA	NA	NA	NA	NA	NA	210	NA	NA	NA	NA	NA	411677	NA	phecode-709.7-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-709.7-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-709.7-both_sexes.tsv.bgz	528529625	Unspecified diffuse connective tissue disease	FALSE	Unspecified CT disease	FALSE
714.1	Rheumatoid arthritis	musculoskeletal	714.1	NA		NA	AFR,CSA,EUR	3	CSA,EUR	2	5805	3995	1809	5711	3912	1798	94	NA	157	NA	5554	NA	5939	NA	7816	NA	371238	NA	phecode-714.1-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-714.1-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-714.1-both_sexes.tsv.bgz	1872553461	Rheumatoid arthritis	FALSE	Rheumatoid arthritis	FALSE
715.2	Ankylosing spondylitis	musculoskeletal	715.2	NA		NA	EUR	1		0	495	152	343	NA	NA	NA	NA	NA	NA	NA	495	NA	NA	NA	NA	NA	371238	NA	phecode-715.2-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-715.2-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-715.2-both_sexes.tsv.bgz	540265860	Ankylosing spondylitis	FALSE	Ankylosing spondylitis	FALSE
716	Other arthropathies	musculoskeletal	716	NA		NA	AFR,AMR,CSA,EAS,EUR,MID	6	EUR,MID	2	43832	24810	19019	42153	23716	18434	607	74	881	117	42030	123	5922	892	7845	2571	372332	1456	phecode-716-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-716-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-716-both_sexes.tsv.bgz	2802452137	Other arthropathies	FALSE	Other arthropathies	TRUE
717	Polymyalgia Rheumatica	musculoskeletal	717	NA		NA	EUR	1		0	1700	1089	611	NA	NA	NA	NA	NA	NA	NA	1700	NA	NA	NA	NA	NA	418831	NA	phecode-717-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-717-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-717-both_sexes.tsv.bgz	552176203	Polymyalgia Rheumatica	FALSE	Polymyalgia Rheumatica	FALSE
727.4	Ganglion and cyst of synovium, tendon, and bursa	musculoskeletal	727.4	NA		NA	AFR,CSA,EUR	3		0	3807	2545	1262	NA	NA	NA	79	NA	58	NA	3670	NA	6146	NA	8192	NA	386932	NA	phecode-727.4-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-727.4-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-727.4-both_sexes.tsv.bgz	1622887691	Ganglion and cyst of synovium, tendon, and bursa	FALSE	Cyst of synovium/tendon/bursa	FALSE
728.71	Contracture of palmar fascia [Dupuytren's disease]	musculoskeletal	728.71	NA		NA	EUR	1		0	4233	1010	3223	NA	NA	NA	NA	NA	NA	NA	4233	NA	NA	NA	NA	NA	386922	NA	phecode-728.71-both_sexes.tsv.bgz	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-728.71-both_sexes.tsv.bgz	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-728.71-both_sexes.tsv.bgz	556700939	Contracture of palmar fascia [Dupuytren's disease]	FALSE	Dupuytren's disease	FALSE
